id,x,y,macro_node,macro_link_id,in_out,layer_id,split
50,9633.773872601021,-14723.06701998612,53396700211,5339670021112407,out,0,
51,9633.697865109256,-14723.223149902544,53396700211,5339670021112407,in,0,
52,11195.65832215422,-14693.785870248714,53396700214,5339670021401286,out,0,
53,11195.782430049218,-14693.907323614278,53396700214,5339670021401286,in,0,
54,11195.825784152767,-14694.416867032072,53396700214,5339670021401600,out,0,
55,11195.72397924323,-14694.557542012084,53396700214,5339670021401600,in,0,
56,11194.928739108553,-14693.97496609644,53396700214,5339670021410741,out,0,
57,11195.03217165601,-14693.83548348916,53396700214,5339670021410741,in,0,
58,11195.09865307055,-14694.614564301155,53396700214,5339670021414001,out,0,
59,11194.97308308262,-14694.494623200033,53396700214,5339670021414001,in,0,
60,9660.246177570221,-14555.157059530895,53396700217,5339670021712386,out,0,
61,9660.072914400604,-14555.14550255634,53396700217,5339670021712386,in,0,
62,9660.071820207839,-14554.174705660444,53396700217,5339670021714004,out,0,
63,9660.245056885362,-14554.162758143204,53396700217,5339670021714004,in,0,
64,10932.597042857382,-14503.418039467557,53396700218,5339670021810713,out,0,
65,10932.492963964654,-14503.557040452071,53396700218,5339670021810713,in,0,
66,10931.714576400487,-14502.948138491023,53396700218,5339670021812470,out,0,
67,10931.824432346362,-14502.813656667855,53396700218,5339670021812470,in,0,
68,10932.255433207385,-14502.703470305594,53396700218,5339670021813691,out,0,
69,10932.416352944556,-14502.76872770208,53396700218,5339670021813691,in,0,
70,11226.958897215998,-14142.048614024481,53396700228,5339670022811563,out,0,
71,11227.068751366462,-14141.91413073469,53396700228,5339670022811563,in,0,
72,11227.748584545585,-14142.646572092817,53396700228,5339670022812484,out,0,
73,11227.60630101857,-14142.746116492694,53396700228,5339670022812484,in,0,
74,11227.024111085535,-14142.628013350139,53396700228,5339670022812486,out,0,
75,11226.931866118035,-14142.480892462505,53396700228,5339670022812486,in,0,
76,11227.58736290475,-14141.83129277606,53396700228,5339670022880458,out,0,
77,11227.733644181131,-14141.924863486152,53396700228,5339670022880458,in,0,
78,10233.737939535613,-14021.151611922076,53396700231,5339670023100232,out,0,
79,10233.887532330684,-14021.063432075913,53396700231,5339670023100232,in,0,
80,10234.387503768368,-14021.911918624704,53396700231,5339670023110645,out,0,
81,10234.237882839529,-14022.000050725892,53396700231,5339670023110645,in,0,
82,10204.98425412382,-13972.030434607272,53396700232,5339670023100232,out,0,
83,10204.834661328749,-13972.118614453435,53396700232,5339670023100232,in,0,
84,10204.330362238303,-13971.27386703454,53396700232,5339670023210626,out,0,
85,10204.478965298797,-13971.18402929181,53396700232,5339670023210626,in,0,
86,10748.0084724373,-15228.64637746536,53396700492,5339670018200492,out,0,
87,10747.834996358908,-15228.63864831063,53396700492,5339670018200492,in,0,
88,10748.442291023477,-15228.11373741033,53396700492,5339670049211555,out,0,
89,10748.42482611106,-15228.286505076405,53396700492,5339670049211555,in,0,
90,10747.444224579554,-15228.1266649174,53396700492,5339670049211797,out,0,
91,10747.482528970831,-15227.957294131205,53396700492,5339670049211797,in,0,
92,11353.098551455929,-14484.651270192748,53396700496,5339670049612899,out,0,
93,11352.928981401405,-14484.613857812234,53396700496,5339670049612899,in,0,
94,11353.199421245734,-14483.658095680497,53396700496,5339670049613690,out,0,
95,11353.36345368757,-14483.715078551886,53396700496,5339670049613690,in,0,
96,11352.633068403444,-14484.265913933565,53396700496,5339670049680379,out,0,
97,11352.62337001488,-14484.092536798778,53396700496,5339670049680379,in,0,
98,11353.610025271906,-14484.053070178603,53396700496,5339670049680421,out,0,
99,11353.61420602658,-14484.226668021036,53396700496,5339670049680421,in,0,
100,12255.692675497816,-14306.787871054898,53396700497,5339670049700592,out,0,
101,12255.865988456071,-14306.7770864312,53396700497,5339670049700592,in,0,
102,12256.01918507473,-14307.728030420461,53396700497,5339670049711461,out,0,
103,12255.851253655153,-14307.772220101677,53396700497,5339670049711461,in,0,
104,12255.313802933384,-14307.336177595804,53396700497,5339670049711462,out,0,
105,12255.322432821347,-14307.162743992829,53396700497,5339670049711462,in,0,
106,10596.777083856223,-14270.187531927188,53396700498,5339670049812369,out,0,
107,10596.935058761443,-14270.25962644104,53396700498,5339670049812369,in,0,
108,10597.106344574795,-14270.879484384855,53396700498,5339670049812370,out,0,
109,10597.007800950254,-14271.022462857603,53396700498,5339670049812370,in,0,
110,10596.158167879315,-14270.590990712733,53396700498,5339670049814003,out,0,
111,10596.215476953397,-14270.427071953482,53396700498,5339670049814003,in,0,
112,10596.41569107969,-14271.112367428159,53396700498,5339670049879560,out,0,
113,10596.279148265536,-14271.005083927517,53396700498,5339670049879560,in,0,
114,11431.1501081979,-14231.564243473951,53396700499,5339670049912477,out,0,
115,11431.163430934306,-14231.737379819939,53396700499,5339670049912477,in,0,
116,11430.174652715703,-14231.782172120502,53396700499,5339670049912480,out,0,
117,11430.172266628853,-14231.60854033713,53396700499,5339670049912480,in,0,
118,11430.625322001257,-14232.186947595546,53396700499,5339670049914542,out,0,
119,11430.457315864913,-14232.143042837743,53396700499,5339670049914542,in,0,
120,12240.915281304075,-14066.513600452414,53396700592,5339670049700592,out,0,
121,12240.74196834582,-14066.52438507611,53396700592,5339670049700592,in,0,
122,11142.405424286311,-13910.879712381973,53396700594,5339670059411564,out,0,
123,11142.237776424123,-13910.83445883061,53396700594,5339670059411564,in,0,
124,12163.916765756983,-15121.651334165314,53396700651,5339670065100652,out,0,
125,12163.99566708918,-15121.496646514273,53396700651,5339670065100652,in,0,
126,12164.869501039668,-15121.954924114181,53396700651,5339670065110923,out,0,
127,12164.787111526059,-15122.107782406905,53396700651,5339670065110923,in,0,
128,12164.279931853327,-15122.284339643522,53396700651,5339670065111664,out,0,
129,12164.120430965653,-15122.215687211385,53396700651,5339670065111664,in,0,
130,12164.51663139857,-15121.312782351299,53396700651,5339670065111667,out,0,
131,12164.675147945996,-15121.383678005603,53396700651,5339670065111667,in,0,
132,12155.836495795984,-15117.334908454759,53396700652,5339670065100652,out,0,
133,12155.757594463787,-15117.4895961058,53396700652,5339670065100652,in,0,
134,12154.894954505513,-15117.000867160059,53396700652,5339670065210905,out,0,
135,12154.987083912454,-15116.853673879019,53396700652,5339670065210905,in,0,
136,12487.293290820733,-14715.364758331101,53396700655,5339670065500657,out,0,
137,12487.376285513606,-14715.212227774944,53396700655,5339670065500657,in,0,
138,12488.042383442651,-14715.106302212946,53396700655,15339670065501532,out,0,
139,12488.168599521283,-14715.225563233827,53396700655,15339670065501532,in,0,
140,12488.220516380072,-14715.735032848039,53396700655,5339670065510972,out,0,
141,12488.120951186169,-14715.877301824876,53396700655,5339670065510972,in,0,
142,12487.492746456186,-14715.941705594983,53396700655,5339670065512894,out,0,
143,12487.366384916531,-14715.82259870642,53396700655,5339670065512894,in,0,
144,12478.07510376102,-14710.151282988825,53396700657,5339670065500657,out,0,
145,12477.992109068147,-14710.303813544982,53396700657,5339670065500657,in,0,
146,12477.152479007478,-14709.771404111507,53396700657,5339670065711453,out,0,
147,12477.255051623557,-14709.631287916733,53396700657,5339670065711453,in,0,
148,12706.124358397847,-14484.52422714742,53396700659,5339670065900801,out,0,
149,12705.99863898834,-14484.404442675637,53396700659,5339670065900801,in,0,
150,12706.678073016785,-14483.691520653141,53396700659,5339670065901105,out,0,
151,12706.803762924297,-14483.811336081015,53396700659,5339670065901105,in,0,
152,12799.68108757412,-14396.572719882552,53396700663,5339670066301533,out,0,
153,12799.553990750297,-14396.454397919328,53396700663,5339670066301533,in,0,
154,12783.855448408453,-14380.880379627135,53396700665,5339670066511006,out,0,
155,12783.728700403663,-14380.761684080087,53396700665,5339670066511006,in,0,
156,11998.4798239886,-15490.939517420804,53396700719,5339670071910848,out,0,
157,11998.483827242291,-15490.765915394413,53396700719,5339670071910848,in,0,
158,11998.813239793368,-15491.337486022276,53396700719,5339670071912618,out,0,
159,11998.661022335571,-15491.253918473854,53396700719,5339670071912618,in,0,
160,11999.466380611191,-15490.776555657882,53396700719,5339670071913600,out,0,
161,11999.46662342604,-15490.950203665783,53396700719,5339670071913600,in,0,
162,11999.089329422444,-15490.377527487048,53396700719,5339670071913932,out,0,
163,11999.248786878494,-15490.446280736549,53396700719,5339670071913932,in,0,
164,11998.74027886178,-15491.306027832616,53396700719,5339670071981434,out,0,
165,11998.603220821089,-15491.199403336888,53396700719,5339670071981434,in,0,
166,11999.265294309433,-15491.270522466191,53396700719,5339670071985130,out,0,
167,11999.10871751356,-15491.345605064716,53396700719,5339670071985130,in,0,
168,12297.569168893353,-14915.971919052185,53396700797,15339670079700799,out,0,
169,12297.696771306435,-14916.089695593919,53396700797,15339670079700799,in,0,
170,12297.029066033805,-14916.813518018838,53396700797,15339670079711667,out,0,
171,12296.901396835654,-14916.69581387511,53396700797,15339670079711667,in,0,
172,12297.621231136785,-14916.774958415279,53396700797,5339670079713462,out,0,
173,12297.47103817435,-14916.862112093579,53396700797,5339670079713462,in,0,
174,12349.998015859686,-14859.424820699789,53396700799,15339670079700799,out,0,
175,12349.870412898794,-14859.307044751573,53396700799,15339670079700799,in,0,
176,12349.831872677512,-14858.759900235495,53396700799,5339670079900800,out,0,
177,12349.94170556901,-14858.625399582885,53396700799,5339670079900800,in,0,
178,12350.546080486101,-14858.588435727692,53396700799,5339670079912895,out,0,
179,12350.671485691983,-14858.708549107234,53396700799,5339670079912895,in,0,
180,12350.759007927742,-14859.099451338343,53396700799,5339670079973173,out,0,
181,12350.696794405258,-14859.261572179777,53396700799,5339670079973173,in,0,
182,12343.924349705747,-14853.71164205974,53396700800,5339670079900800,out,0,
183,12343.81451681425,-14853.84614271235,53396700800,5339670079900800,in,0,
184,12343.109381867005,-14853.14091894005,53396700800,5339670080013685,out,0,
185,12343.243896353202,-14853.031102991252,53396700800,5339670080013685,in,0,
186,12625.535732866687,-14568.854028622387,53396700801,5339670065900801,out,0,
187,12625.661452276194,-14568.97381309417,53396700801,5339670065900801,in,0,
188,12624.986602734794,-14569.689748274794,53396700801,5339670080101532,out,0,
189,12624.859605788108,-14569.571319118166,53396700801,5339670080101532,in,0,
190,11625.172659298487,-15566.674566277632,53396700923,5339670092300924,out,0,
191,11625.044445270953,-15566.557455847907,53396700923,5339670092300924,in,0,
