node_id,x_coord,y_coord,macro_node_id,macro_link_id,in_out,layer_id,split,node_type,modes,geometry,name,osm_node_id,ctrl_type,is_boundary,activity_type,poi_id,zone_id,notes,parent_node_id
23,139.64534792577192,35.699258645261075,114,191,in,0,,intersection_in,vehicle,POINT (139.64534792577192 35.699258645261075),,440091229,,0.0,residential,,,,114.0
24,139.6453455404603,35.69942296111348,115,189,out,0,,intersection_out,vehicle,POINT (139.6453455404603 35.69942296111348),,440091330,,2.0,residential,,115.0,,115.0
25,139.6453474595398,35.69942296111349,115,189,in,0,,intersection_in,vehicle,POINT (139.6453474595398 35.69942296111349),,440091330,,2.0,residential,,115.0,,115.0
26,139.64534745953904,35.69935953888655,116,189,out,0,,intersection_out,vehicle,POINT (139.64534745953904 35.69935953888655),,1173913808,,0.0,residential,,,,116.0
27,139.64534554046108,35.69935953888657,116,189,in,0,,intersection_in,vehicle,POINT (139.64534554046108 35.69935953888657),,1173913808,,0.0,residential,,,,116.0
28,139.6453455404612,35.699350661113414,116,193,out,0,,intersection_out,vehicle,POINT (139.6453455404612 35.699350661113414),,1173913808,,0.0,residential,,,,116.0
29,139.64534745953898,35.699350661113435,116,193,in,0,,intersection_in,vehicle,POINT (139.64534745953898 35.699350661113435),,1173913808,,0.0,residential,,,,116.0
30,139.64535195291458,35.699354370509376,116,7657,out,0,,intersection_out,vehicle,POINT (139.64535195291458 35.699354370509376),,1173913808,,0.0,residential,,,,116.0
31,139.64535192993668,35.699355935788084,116,7657,in,0,,intersection_in,vehicle,POINT (139.64535192993668 35.699355935788084),,1173913808,,0.0,residential,,,,116.0
32,139.64539348613903,35.698829789886574,117,191,out,0,,intersection_out,vehicle,POINT (139.64539348613903 35.698829789886574),,440091331,,0.0,residential,,,,117.0
33,139.64539157423903,35.698829654739995,117,191,in,0,,intersection_in,vehicle,POINT (139.64539157423903 35.698829654739995),,440091331,,0.0,residential,,,,117.0
34,139.6454034567282,35.698774689938155,118,196,out,0,,intersection_out,vehicle,POINT (139.6454034567282 35.698774689938155),,440091652,,0.0,residential,,,,118.0
35,139.64540342537168,35.69877625512028,118,196,in,0,,intersection_in,vehicle,POINT (139.64540342537168 35.69877625512028),,440091652,,0.0,residential,,,,118.0
36,139.6453925969134,35.69877634434871,118,14688,out,0,,intersection_out,vehicle,POINT (139.6453925969134 35.69877634434871),,440091652,,0.0,residential,,,,118.0
37,139.64539252680004,35.698774780002715,118,14688,in,0,,intersection_in,vehicle,POINT (139.64539252680004 35.698774780002715),,440091652,,0.0,residential,,,,118.0
38,139.64619544327692,35.698786810098134,119,196,out,0,,intersection_out,vehicle,POINT (139.64619544327692 35.698786810098134),,440091868,,0.0,residential,,,,119.0
